Zona,Protección,Origen,Tipo de Interfaz,Cantidad,Destino,Tipo de Interfaz,Cantidad,Tramos del recorrido (Ruta principal),Tramos del recorrido (Ruta secundaria),Distancia Aproximada [Km] (Ruta principal),Distancia Aproximada [Km] (Ruta secundaria)
NORTE,W/P,TUCUMAN,10 Geth,3,CORDOBA,10 Geth,3,"11 - 7","10 - 5 - 17",731,897
NORTE,W/P,SANTA FE,10 Geth,3,ROSARIO,10 Geth,3,38,"96 - 36 - 37 - 70",205,862
NORTE,W/P,JUJUY,10 Geth,1,TUCUMAN,10 Geth,1,"16 - 15","18 - 14",466,1420
NORTE,W/P,RESISTENCIA,10 Geth,1,SANTA FE,10 Geth,1,"31 - 32 - 47","96 - 30 - 94",957,706
NORTE,,POSADAS,10 Geth,1,SANTA FE,10 Geth,1,"29 - 27 - 96","26 - 94 - 31 - 32 - 47",1042,1323
NORTE,,TUCUMAN,10 Geth,9,SANTA FE,10 Geth,9,"15 - 23 - 30 - 94 - 96","",1633,
NORTE,,JUJUY,10 Geth,3,RESISTENCIA,10 Geth,3,"19 - 22 - 25","",1226,
NORTE,,RESISTENCIA,10 Geth,5,POSADAS,10 Geth,5,"","",366,
NORTE,,CORDOBA,10 Geth,5,ROSARIO,10 Geth,5,"48 - 47 - 38","",858,
NORTE,,MENDOZA,10 Geth,5,CORDOBA,10 Geth,5,"1 - 2 - 17","",858,
NORTE,,ROSARIO,10 Geth,2,BENAVIDEZ,10 Geth,2,"70 - 33 - 97","",673,
